,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist,song_type,Cluster_KNN_2,Cluster_kmean
631,0.684,0.717,6.0,-8.561,0.0,0.0638,0.202,0.0,0.127,0.571,97.993,audio_features,11iIeclbEWUhkmLArE9Hr0,spotify:track:11iIeclbEWUhkmLArE9Hr0,https://api.spotify.com/v1/tracks/11iIeclbEWUhkmLArE9Hr0,https://api.spotify.com/v1/audio-analysis/11iIeclbEWUhkmLArE9Hr0,224928.0,4.0,Treur Niet (Ode Aan Het Leven),Diggy Dex,nothot,10,10
632,0.376,0.595,3.0,-5.936,1.0,0.0496,0.303,0.0,0.095,0.265,144.361,audio_features,7GgWAITsYJaRM3r50rfh5w,spotify:track:7GgWAITsYJaRM3r50rfh5w,https://api.spotify.com/v1/tracks/7GgWAITsYJaRM3r50rfh5w,https://api.spotify.com/v1/audio-analysis/7GgWAITsYJaRM3r50rfh5w,290900.0,4.0,When We Were Young,Adele,nothot,2,2
633,0.66,0.695,9.0,-6.896,0.0,0.029,0.0466,0.145,0.0854,0.506,129.972,audio_features,3Vn9oCZbdI1EMO7jxdz2Rc,spotify:track:3Vn9oCZbdI1EMO7jxdz2Rc,https://api.spotify.com/v1/tracks/3Vn9oCZbdI1EMO7jxdz2Rc,https://api.spotify.com/v1/audio-analysis/3Vn9oCZbdI1EMO7jxdz2Rc,382387.0,4.0,Lazarus,David Bowie,nothot,10,10
634,0.72,0.274,1.0,-7.623,0.0,0.0276,0.742,0.0,0.11,0.179,105.929,audio_features,0ijHEBUBXIJPp5ubUkDLQi,spotify:track:0ijHEBUBXIJPp5ubUkDLQi,https://api.spotify.com/v1/tracks/0ijHEBUBXIJPp5ubUkDLQi,https://api.spotify.com/v1/audio-analysis/0ijHEBUBXIJPp5ubUkDLQi,227066.0,4.0,Million Years Ago,Adele,nothot,3,3
635,0.7,0.742,5.0,-6.777,0.0,0.0716,0.0722,0.0199,0.11,0.197,91.959,audio_features,2oaK4JLVnmRGIO9ytBE1bt,spotify:track:2oaK4JLVnmRGIO9ytBE1bt,https://api.spotify.com/v1/tracks/2oaK4JLVnmRGIO9ytBE1bt,https://api.spotify.com/v1/audio-analysis/2oaK4JLVnmRGIO9ytBE1bt,302000.0,4.0,Dark Necessities,Red Hot Chili Peppers,nothot,6,6
636,0.674,0.327,4.0,-16.986,0.0,0.0574,0.613,0.199,0.0756,0.494,108.995,audio_features,5zb7npjQqoJ7Kcpq4yD9qn,spotify:track:5zb7npjQqoJ7Kcpq4yD9qn,https://api.spotify.com/v1/tracks/5zb7npjQqoJ7Kcpq4yD9qn,https://api.spotify.com/v1/audio-analysis/5zb7npjQqoJ7Kcpq4yD9qn,284373.0,4.0,You Want It Darker,Leonard Cohen,nothot,3,3
637,0.123,0.214,2.0,-10.946,1.0,0.037,0.836,0.676,0.13,0.0451,90.408,audio_features,0c89GbbUO3degznx9eYrq0,spotify:track:0c89GbbUO3degznx9eYrq0,https://api.spotify.com/v1/tracks/0c89GbbUO3degznx9eYrq0,https://api.spotify.com/v1/audio-analysis/0c89GbbUO3degznx9eYrq0,223120.0,4.0,Once Upon a Time in the West - Main Theme,Ennio Morricone,nothot,5,5
638,0.469,0.313,5.0,-14.196,1.0,0.0401,0.531,0.0,0.983,0.267,141.701,audio_features,2ORfTT4oHGpkOrLAXE7kUR,spotify:track:2ORfTT4oHGpkOrLAXE7kUR,https://api.spotify.com/v1/tracks/2ORfTT4oHGpkOrLAXE7kUR,https://api.spotify.com/v1/audio-analysis/2ORfTT4oHGpkOrLAXE7kUR,280040.0,4.0,I Just Can't Help Believin',Elvis Presley,nothot,9,9
639,0.278,0.494,7.0,-7.853,0.0,0.029,0.157,0.000407,0.173,0.527,169.661,audio_features,7oOEFDLSQscl0uGulnIEmG,spotify:track:7oOEFDLSQscl0uGulnIEmG,https://api.spotify.com/v1/tracks/7oOEFDLSQscl0uGulnIEmG,https://api.spotify.com/v1/audio-analysis/7oOEFDLSQscl0uGulnIEmG,427093.0,4.0,Love & Hate,Michael Kiwanuka,nothot,1,1
640,0.586,0.753,9.0,-10.581,1.0,0.0331,3.01e-05,0.544,0.342,0.657,123.357,audio_features,7MhDU9xSWM1LPQGPFkAEJC,spotify:track:7MhDU9xSWM1LPQGPFkAEJC,https://api.spotify.com/v1/tracks/7MhDU9xSWM1LPQGPFkAEJC,https://api.spotify.com/v1/audio-analysis/7MhDU9xSWM1LPQGPFkAEJC,338809.0,4.0,New Gold Dream (81/82/83/84),Simple Minds,nothot,5,5
